frequency_thz,n,k,eps1,eps2,sigma_re,sigma_im
2.31111,3.18108,0.09491,10.11023,0.60385,77.63776,109.65647
2.32222,3.18189,0.09376,10.11564,0.59665,77.08092,109.48594
2.33333,3.1827,0.09262,10.12097,0.58959,76.53346,109.31677
2.34444,3.18349,0.09152,10.12626,0.58268,75.99653,109.14732
2.35556,3.18429,0.09043,10.13152,0.57592,75.47116,108.97575
2.36667,3.18508,0.08937,10.13676,0.56932,74.95821,108.80003
2.37778,3.18588,0.08834,10.142,0.56288,74.4583,108.61795
2.38889,3.18667,0.08733,10.14725,0.5566,73.97178,108.42721
2.4,3.18748,0.08635,10.15254,0.55048,73.49868,108.22543
2.41111,3.18829,0.08539,10.15788,0.54452,73.03864,108.01026
2.42222,3.18911,0.08446,10.16329,0.5387,72.59094,107.77943
2.43333,3.18995,0.08355,10.16878,0.53301,72.15444,107.53082
2.44444,3.1908,0.08265,10.17436,0.52745,71.72757,107.26257
2.45556,3.19167,0.08177,10.18005,0.522,71.3084,106.97315
2.46667,3.19255,0.08091,10.18585,0.51663,70.89462,106.66144
2.47778,3.19346,0.08006,10.19176,0.51133,70.48363,106.32686
2.48889,3.19438,0.07921,10.19778,0.50608,70.07258,105.96937
2.5,3.19532,0.07837,10.20392,0.50085,69.65851,105.58961
2.51111,3.19627,0.07753,10.21014,0.49563,69.23841,105.18885
2.52222,3.19724,0.07669,10.21645,0.49039,68.80936,104.76909
2.53333,3.19821,0.07584,10.22282,0.48511,68.36868,104.333
2.54444,3.1992,0.07498,10.22923,0.47978,67.91405,103.88385
2.55556,3.20018,0.07412,10.23564,0.47439,67.4436,103.4255
2.56667,3.20116,0.07324,10.24204,0.46892,66.95607,102.9622
2.57778,3.20213,0.07235,10.24838,0.46337,66.45088,102.49855
2.58889,3.20308,0.07146,10.25463,0.45776,65.92816,102.03922
2.6,3.20402,0.07055,10.26078,0.45207,65.3888,101.58887
2.61111,3.20494,0.06963,10.26677,0.44633,64.83442,101.15193
2.62222,3.20583,0.06871,10.2726,0.44055,64.26731,100.73242
2.63333,3.20668,0.06779,10.27823,0.43475,63.69035,100.3338
2.64444,3.20751,0.06687,10.28366,0.42896,63.10688,99.95882
2.65556,3.2083,0.06595,10.28887,0.4232,62.52059,99.60946
2.66667,3.20906,0.06505,10.29385,0.41749,61.93534,99.2868
2.67778,3.20979,0.06416,10.29861,0.41186,61.355,98.99103
2.68889,3.21048,0.06328,10.30316,0.40634,60.78336,98.72145
2.7,3.21114,0.06243,10.30751,0.40094,60.2239,98.47649
2.71111,3.21177,0.0616,10.31167,0.39569,59.67975,98.25381
2.72222,3.21238,0.0608,10.31567,0.3906,59.15354,98.05036
2.73333,3.21296,0.06002,10.31954,0.38568,58.64735,97.86255
2.74444,3.21354,0.05927,10.3233,0.38095,58.16264,97.68633
2.75556,3.2141,0.05855,10.32698,0.3764,57.70022,97.5174
2.76667,3.21465,0.05786,10.33062,0.37202,57.26024,97.35134
2.77778,3.2152,0.0572,10.33423,0.36783,56.84223,97.1838
2.78889,3.21575,0.05657,10.33785,0.36381,56.44513,97.01064
2.8,3.21631,0.05596,10.34151,0.35994,56.06732,96.82815
2.81111,3.21687,0.05537,10.34521,0.35621,,
2.82222,3.21745,0.0548,10.34898,0.3526,,
2.83333,3.21804,0.05424,10.35282,0.34911,,
2.84444,3.21864,0.0537,10.35674,0.34569,,
2.85556,3.21925,0.05317,10.36073,0.34235,,
2.86667,3.21987,0.05265,10.36479,0.33905,,
2.87778,3.2205,0.05213,10.36888,0.33578,,
2.88889,3.22113,0.05162,10.37299,0.33254,,
2.9,3.22175,0.0511,10.37707,0.32929,,
2.91111,3.22236,0.05059,10.38108,0.32604,,
2.92222,3.22296,0.05008,10.38496,0.32278,,
2.93333,3.22352,0.04956,10.38865,0.3195,,
2.94444,3.22405,0.04904,10.39207,0.31619,,
2.95556,3.22451,0.04851,10.39513,0.31284,,
2.96667,3.2249,0.04798,10.39771,0.30947,,
2.97778,3.2252,0.04745,10.39968,0.30606,,
2.98889,3.22538,0.04691,10.40088,0.30261,,
,3.22541,0.04637,10.40111,0.29915,,
,3.22525,0.04584,10.40016,0.29566,,
,3.22487,0.0453,10.39773,0.2922,,
,3.22421,0.04478,10.39351,0.28878,,
,3.22321,0.04429,10.38711,0.28548,,
,3.2218,0.04383,10.37808,0.2824,,
,3.21991,0.04342,10.36592,0.27965,,
,3.21744,0.04311,10.35008,0.27739,,
,3.21431,0.04291,10.32997,0.27583,,
,3.21043,0.04286,10.30504,0.27518,,
,3.20573,0.04299,10.27483,0.27562,,
,3.20015,0.04332,10.23908,0.27728,,
,3.19371,0.04385,10.19789,0.28009,,
