Frequency	σRe	σIm
1.61621000E+12	1.20157610E+02	1.72646570E+02
1.62109000E+12	1.20520630E+02	1.73168160E+02
1.62598000E+12	1.20883640E+02	1.73689760E+02
1.63086000E+12	1.21246650E+02	1.74211350E+02
1.63574000E+12	1.21609670E+02	1.74732940E+02
1.64063000E+12	1.21972680E+02	1.75254530E+02
1.64551000E+12	1.22335700E+02	1.75776120E+02
1.65039000E+12	1.22698710E+02	1.76297710E+02
1.65527000E+12	1.20131680E+02	1.76628220E+02
1.66016000E+12	1.20486050E+02	1.77149250E+02
1.66504000E+12	1.20840420E+02	1.77670270E+02
1.66992000E+12	1.21194790E+02	1.78191300E+02
1.67480000E+12	1.21549170E+02	1.78712330E+02
1.67969000E+12	1.16114790E+02	1.76283580E+02
1.68457000E+12	1.16452330E+02	1.76796030E+02
1.68945000E+12	1.16789870E+02	1.77308480E+02
1.69434000E+12	1.14124150E+02	1.77639480E+02
1.69922000E+12	1.14453040E+02	1.78151410E+02
1.70410000E+12	1.20823080E+02	1.79033070E+02
1.70898000E+12	1.21169280E+02	1.79546060E+02
1.71387000E+12	1.21515470E+02	1.80059050E+02
1.71875000E+12	1.12875200E+02	1.77380350E+02
1.72363000E+12	1.13195870E+02	1.77884270E+02
1.72852000E+12	1.13516540E+02	1.78388200E+02
1.73340000E+12	1.16913890E+02	1.79072930E+02
1.73828000E+12	1.14157870E+02	1.79396040E+02
1.74316000E+12	1.14478540E+02	1.79899960E+02
1.74805000E+12	1.11848090E+02	1.77538280E+02
1.75293000E+12	1.12160510E+02	1.78034190E+02
1.75781000E+12	1.12472940E+02	1.78530110E+02
1.76270000E+12	1.15918290E+02	1.79204990E+02
1.76758000E+12	1.13097780E+02	1.79521950E+02
1.77246000E+12	1.13410210E+02	1.80017860E+02
1.77734000E+12	1.10713490E+02	1.77601390E+02
1.78223000E+12	1.11017650E+02	1.78089300E+02
1.78711000E+12	1.11321800E+02	1.78577220E+02
1.79199000E+12	1.11625960E+02	1.79065130E+02
1.79688000E+12	1.15128120E+02	1.79730490E+02
1.80176000E+12	1.15440970E+02	1.80218880E+02
1.80664000E+12	1.15753820E+02	1.80707280E+02
1.81152000E+12	1.16066670E+02	1.81195680E+02
1.81641000E+12	1.09913990E+02	1.81330400E+02
1.82129000E+12	1.10209450E+02	1.81817850E+02
1.82617000E+12	1.07399910E+02	1.79319240E+02
1.83105000E+12	1.07687080E+02	1.79798700E+02
1.83594000E+12	1.07974240E+02	1.80278170E+02
1.84082000E+12	1.08261410E+02	1.80757630E+02
1.84570000E+12	1.08548570E+02	1.81237090E+02
1.85059000E+12	1.12133790E+02	1.81889000E+02
1.85547000E+12	1.09122910E+02	1.82196020E+02
1.86035000E+12	1.09410070E+02	1.82675480E+02
1.86523000E+12	1.06516830E+02	1.80106320E+02
1.87012000E+12	1.03458300E+02	1.80413940E+02
1.87500000E+12	1.03728430E+02	1.80885000E+02
1.87988000E+12	1.10708140E+02	1.81690710E+02
