Reference	Reference	Reference	windowed Reference	windowed Reference	windowed Reference	Sample	Sample	Sample	windowed Sample	windowed Sample	windowed Sample
Time (ps)	Mean	std error	Time (ps)	Mean	std error	Time (ps)	Mean	std error	Time (ps)	Mean	std error
127.14999999999999	9.16667e-05		127.14999999999999	9.16667e-05		129.4	3.2e-05		129.75	4.33333e-05	
127.20000000000002	-3.06667e-05		127.20000000000002	-3.06667e-05		129.45	1.86667e-05		129.8	7e-05	
127.25	-8.73333e-05		127.25	-8.73333e-05		129.5	-3.86667e-05		129.85	1.06667e-05	
127.29999999999998	-0.000126333		127.29999999999998	-0.000126333		129.55	-8.66667e-06		129.9	-2.46667e-05	
127.34999999999998	-5.53333e-05		127.34999999999998	-5.53333e-05		129.6	3.33333e-06		129.95	-2.93333e-05	
127.39999999999999	4e-05		127.39999999999999	4e-05		129.65	-2.46667e-05		130.0	4.13333e-05	
127.45	0.000154667		127.45	0.000154667		129.7	1.13333e-05		130.05	-4.26667e-05	
127.5	0.000177		127.5	0.000177		129.75	4.33333e-05		130.1	-1.86667e-05	
127.54999999999998	0.000151667		127.54999999999998	0.000151667		129.8	7e-05		130.15	-1.73333e-05	
127.60000000000001	2.06667e-05		127.60000000000001	2.0617709937880665e-05		129.85	1.06667e-05		130.19999999999996	4.655607737849273e-06	
127.64999999999999	-5.36667e-05		127.64999999999999	-5.3024735649015336e-05		129.9	-2.46667e-05		130.25	-5.269532380022676e-06	
127.7	-0.000135		127.7	-0.00013111457059127572		129.95	-2.93333e-05		130.3	-2.9136571242505715e-05	
127.75	-0.000117333		127.75	-0.00011116385317323413		130.0	4.13333e-05		130.35	-8.21099291231685e-06	
127.79999999999998	-6.7e-05		127.79999999999998	-6.143892689931089e-05		130.05	-4.26667e-05		130.4	-2.689860409575457e-05	
127.85000000000001	3.1e-05		127.85000000000001	2.7292419093741324e-05		130.1	-1.86667e-05		130.44999999999996	2.112961478225135e-05	
127.89999999999999	0.000101		127.89999999999999	8.465506871623565e-05		130.15	-1.73333e-05		130.5	-2.9615276628429395e-05	
127.95	0.000108333		127.95	8.568376094956978e-05		130.19999999999996	4.66667e-06		130.55	1.054569973940442e-06	
128.0	2.6e-05		128.0	1.9223920681643695e-05		130.25	-5.33333e-06		130.6	2.612479063925851e-05	
