ref_time_ps,ref_amplitude,sample_time_ps,sample_amplitude,raw_ref_time_ps,raw_ref_amplitude,raw_sample_time_ps,raw_sample_amplitude
126.09999999999998,-5.43333e-05,128.39999999999998,-4.66667e-05,126.09999999999998,-5.43333e-05,128.35,2.26667e-05
126.15,-0.000107,128.45,-1.33333e-05,126.15,-0.000107,128.39999999999998,-4.66667e-05
126.19999999999999,-4.3e-05,128.5,-1.33333e-06,126.19999999999999,-4.3e-05,128.45,-1.33333e-05
126.25,3.8e-05,128.55,-1.73333e-05,126.25,3.8e-05,128.5,-1.33333e-06
126.3,0.000137333,128.6,-9.33333e-06,126.3,0.000137333,128.55,-1.73333e-05
126.34999999999998,0.000256667,128.65,-6e-06,126.34999999999998,0.000256667,128.6,-9.33333e-06
126.39999999999999,0.000246333,128.7,2.66667e-05,126.39999999999999,0.000246333,128.65,-6e-06
126.45000000000002,8.76667e-05,128.75,3.73333e-05,126.45000000000002,8.76667e-05,128.7,2.66667e-05
126.5,-9.33333e-05,128.8,-1.46667e-05,126.5,-9.33333e-05,128.75,3.73333e-05
126.55,-0.000242333,128.85,-6.4e-05,126.55,-0.000242333,128.8,-1.46667e-05
126.59999999999998,-0.000284667,128.9,-3.33333e-05,126.59999999999998,-0.000284667,128.85,-6.4e-05
126.64999999999999,-0.000280667,128.95,-6.26667e-05,126.64999999999999,-0.000280667,128.9,-3.33333e-05
126.70000000000002,-0.000135,129.0,1e-05,126.70000000000002,-0.000135,128.95,-6.26667e-05
126.75,-3.63333e-05,129.05,-7.33333e-06,126.75,-3.63333e-05,129.0,1e-05
126.8,8.26667e-05,129.1,2.93333e-05,126.8,8.26667e-05,129.05,-7.33333e-06
126.84999999999998,0.000145667,129.15,4.66667e-05,126.84999999999998,0.000145667,129.1,2.93333e-05
126.89999999999999,9.6e-05,129.2,-4e-06,126.89999999999999,9.6e-05,129.15,4.66667e-05
126.95000000000002,0.000159,129.25,-1.13333e-05,126.95000000000002,0.000159,129.2,-4e-06
127.0,0.000138333,129.3,1.8e-05,127.0,0.000138333,129.25,-1.13333e-05
127.05,0.000118667,129.35,-3.46667e-05,127.05,0.000118667,129.3,1.8e-05
127.09999999999998,0.000108667,129.4,3.2e-05,127.09999999999998,0.000108667,129.35,-3.46667e-05
127.14999999999999,9.16667e-05,129.45,1.86667e-05,127.14999999999999,9.16667e-05,129.4,3.2e-05
127.20000000000002,-3.06667e-05,129.5,-3.86667e-05,127.20000000000002,-3.06667e-05,129.45,1.86667e-05
127.25,-8.73333e-05,129.55,-8.66667e-06,127.25,-8.73333e-05,129.5,-3.86667e-05
127.29999999999998,-0.000126333,129.6,3.33333e-06,127.29999999999998,-0.000126333,129.55,-8.66667e-06
127.34999999999998,-5.53333e-05,129.65,-2.46667e-05,127.34999999999998,-5.53333e-05,129.6,3.33333e-06
127.39999999999999,4e-05,129.7,1.13333e-05,127.39999999999999,4e-05,129.65,-2.46667e-05
127.45,0.000154667,129.75,4.33333e-05,127.45,0.000154667,129.7,1.13333e-05
127.5,0.000177,129.8,7e-05,127.5,0.000177,129.75,4.33333e-05
127.54999999999998,0.000151667,129.85,1.06667e-05,127.54999999999998,0.000151667,129.8,7e-05
127.60000000000001,2.06667e-05,129.9,-2.46667e-05,127.60000000000001,2.06667e-05,129.85,1.06667e-05
127.64999999999999,-5.36667e-05,129.95,-2.93333e-05,127.64999999999999,-5.36667e-05,129.9,-2.46667e-05
127.7,-0.000135,130.0,4.13333e-05,127.7,-0.000135,129.95,-2.93333e-05
127.75,-0.000117333,130.05,-4.26667e-05,127.75,-0.000117333,130.0,4.13333e-05
127.79999999999998,-6.7e-05,130.1,-1.86667e-05,127.79999999999998,-6.7e-05,130.05,-4.26667e-05
127.85000000000001,3.094745523219255e-05,130.15,-1.730392018632784e-05,127.85000000000001,3.1e-05,130.1,-1.86667e-05
127.89999999999999,9.999309630899044e-05,130.19999999999996,4.620146363883924e-06,127.89999999999999,0.000101,130.15,-1.73333e-05
127.95,0.00010562249754694519,130.25,-5.1998895520483065e-06,127.95,0.000108333,130.19999999999996,4.66667e-06
128.0,2.4787382591693347e-05,130.3,-2.8600826067338482e-05,128.0,2.6e-05,130.25,-5.33333e-06
128.05,4.010377842188105e-05,130.35,-8.020764939101427e-06,128.05,4.33333e-05,130.3,-3e-05
128.1,1.5158908729260741e-05,130.4,-2.615651867223671e-05,128.1,1.7e-05,130.35,-8.66667e-06
128.15,5.6265782878206894e-05,130.44999999999996,2.0460284682984323e-05,128.15,6.6e-05,130.4,-2.93333e-05
128.2,8.165329730039726e-05,130.5,-2.8565152965387395e-05,128.2,0.000101,130.44999999999996,2.4e-05
128.25,6.562364419437892e-05,130.55,1.0134904320081736e-06,128.25,8.63333e-05,130.5,-3.53333e-05
128.3,8.167812548316916e-05,130.6,2.502282704112839e-05,128.3,0.000115333,130.55,1.33333e-06
