	Reference	Reference		Sample	Sample		Phase offset	Phase Diff
Frequency (THz)	Amplitude	Phase	Frequency (THz)	Amplitude	Phase
1.52222E12	0.00476	1054.13631	1.52222E12	3.09403E-4	1102.85694	48.72063	27.2586	21.46203
1.53333E12	0.00472	1061.86302	1.53333E12	3.1264E-4	1110.95311	49.0901	27.4575	21.6326
1.54444E12	0.00469	1069.5899	1.54444E12	3.15788E-4	1119.0496	49.45969	27.6565	21.80319
1.55556E12	0.00466	1077.31697	1.55556E12	3.18855E-4	1127.14635	49.82938	27.8555	21.97388
1.56667E12	0.00463	1085.04422	1.56667E12	3.21853E-4	1135.24334	50.19912	28.0544	22.14472
1.57778E12	0.0046	1092.77165	1.57778E12	3.24798E-4	1143.34056	50.56891	28.2534	22.31551
1.58889E12	0.00457	1100.49929	1.58889E12	3.27708E-4	1151.43801	50.93871	28.4524	22.48631
1.6E12	0.00454	1108.22716	1.6E12	3.30604E-4	1159.53569	51.30853	28.6513	22.65723
1.61111E12	0.00451	1115.95528	1.61111E12	3.33507E-4	1167.63364	51.67837	28.8503	22.82807
1.62222E12	0.00448	1123.68367	1.62222E12	3.36437E-4	1175.73189	52.04822	29.0493	22.99892
1.63333E12	0.00445	1131.41239	1.63333E12	3.39413E-4	1183.8305	52.41811	29.2482	23.16991
1.64444E12	0.00442	1139.14147	1.64444E12	3.42454E-4	1191.92953	52.78805	29.4472	23.34085
1.65556E12	0.0044	1146.87096	1.65556E12	3.45572E-4	1200.02904	53.15808	29.6462	23.51188
1.66667E12	0.00437	1154.60091	1.66667E12	3.48778E-4	1208.12911	53.52821	29.8451	23.68311
1.67778E12	0.00435	1162.33137	1.67778E12	3.52077E-4	1216.22983	53.89847	30.0441	23.85437
1.68889E12	0.00433	1170.06239	1.68889E12	3.5547E-4	1224.33127	54.26889	30.2431	24.02579
1.7E12	0.00431	1177.79402	1.7E12	3.58953E-4	1232.43351	54.63949	30.442	24.19749
1.71111E12	0.00429	1185.52633	1.71111E12	3.62517E-4	1240.53661	55.01028	30.641	24.36928
1.72222E12	0.00427	1193.25934	1.72222E12	3.6615E-4	1248.64062	55.38128	30.84	24.54128
1.73333E12	0.00425	1200.9931	1.73333E12	3.69837E-4	1256.7456	55.7525	31.0389	24.7136
1.74444E12	0.00423	1208.72765	1.74444E12	3.73559E-4	1264.85159	56.12394	31.2379	24.88604
1.75556E12	0.00421	1216.46302	1.75556E12	3.77298E-4	1272.9586	56.49558	31.4369	25.05868
1.76667E12	0.00419	1224.19923	1.76667E12	3.81031E-4	1281.06664	56.86742	31.6358	25.23162
1.77778E12	0.00418	1231.93629	1.77778E12	3.8474E-4	1289.17573	57.23944	31.8348	25.40464
1.78889E12	0.00416	1239.67423	1.78889E12	3.88405E-4	1297.28585	57.61162	32.0338	25.57782
