time_ps,amplitude,stderr
1.085999999999994543e+02,-1.438113207547169316e-04,7.015877665105710355e-06
1.086499999999994515e+02,-1.261509433962264032e-04,6.651546672835949176e-06
1.086999999999994344e+02,-1.185283018867924884e-04,6.711711085746292695e-06
1.087499999999994458e+02,-1.001886792452830091e-04,6.974961913982899084e-06
1.087999999999994429e+02,-6.849056603773585124e-05,6.065714809416125309e-06
1.088499999999994401e+02,-4.799999999999998766e-05,6.589418359632566074e-06
1.088999999999994373e+02,-4.626415094339624668e-05,5.623030944054115886e-06
1.089499999999994344e+02,-4.524528301886792872e-05,6.348427491911852939e-06
1.089999999999994316e+02,-6.769811320754719262e-05,8.701431238204886524e-06
1.090499999999994287e+02,-9.849056603773580795e-05,6.394841651265161713e-06
1.090999999999994259e+02,-1.064905660377358398e-04,7.394282698077498646e-06
1.091499999999994230e+02,-1.436603773584905553e-04,8.805599669742605206e-06
1.091999999999994202e+02,-1.663396226415093904e-04,7.817012938159187136e-06
1.092499999999994174e+02,-1.757358490566038301e-04,5.992053058251296418e-06
1.092999999999994145e+02,-1.802264150943396436e-04,6.617594244474545811e-06
1.093499999999994117e+02,-1.704150943396226081e-04,5.644848760052121743e-06
1.093999999999994088e+02,-1.599245283018867843e-04,6.358230164121036037e-06
1.094499999999994060e+02,-1.496603773584905927e-04,6.951950401121664070e-06
1.094999999999994031e+02,-1.385660377358490739e-04,6.657651344107429520e-06
1.095499999999993861e+02,-9.924528301886793348e-05,7.034113370936313743e-06
1.095999999999993975e+02,-9.116981132075474060e-05,7.641939696671191078e-06
1.096499999999993946e+02,-7.252830188679245445e-05,6.707254128013988507e-06
1.096999999999993918e+02,-7.298113207547169182e-05,7.171325091738943834e-06
1.097499999999993889e+02,-8.490566037735848364e-05,6.467393042546633634e-06
1.097999999999993719e+02,-1.048301886792453073e-04,6.652314101979601269e-06
1.098499999999993832e+02,-1.139622641509434190e-04,6.632174092191995518e-06
1.098999999999993804e+02,-1.207924528301886888e-04,6.387808703216064529e-06
1.099499999999993776e+02,-1.287169811320754782e-04,6.054715355896850060e-06
1.099999999999993747e+02,-1.344905660377358292e-04,6.648775112448361763e-06
1.100499999999993577e+02,-1.208301886792452761e-04,6.062551352888706877e-06
1.100999999999993690e+02,-1.300754716981132174e-04,6.151513404344759580e-06
1.101499999999993662e+02,-1.461132075471698413e-04,7.044670586985919561e-06
1.101999999999993634e+02,-1.451320754716981106e-04,7.777157895477293848e-06
1.102499999999993605e+02,-1.353962264150943310e-04,6.539217595848429266e-06
1.102999999999993435e+02,-1.293962264150944020e-04,5.952843023796320973e-06
