freq_THz,fft_mag,n,k,eps_real,eps_imag,sigma_real,sigma_imag
1.525600835945590150e+00,4.086928351992419328e-02,1.197131407744517428e+00,1.487664328094820063e-02,1.432902292893061480e+00,3.561859382686907022e-02,3.023056656543769982e+00,-3.674171317723988039e+01
1.546499477533885614e+00,4.051711697364686338e-02,1.194461278485866584e+00,1.470500089325115119e-02,1.426521508750820511e+00,3.512910833417715734e-02,3.022355195637671077e+00,-3.669604949152933671e+01
1.567398119122181299e+00,4.056797757905514223e-02,1.191672523562356201e+00,1.458701972319662553e-02,1.419870622269069571e+00,3.476590120959117264e-02,3.031526796778522215e+00,-3.661199618888652196e+01
1.588296760710477207e+00,4.095774887727259006e-02,1.188806710915474962e+00,1.435431049497415575e-02,1.413055349687883488e+00,3.412900129397941629e-02,3.015670089039146351e+00,-3.649795235558487860e+01
1.609195402298772892e+00,4.153290688604781289e-02,1.186020217264531995e+00,1.396402884534605690e-02,1.406448961658613994e+00,3.312324105009104708e-02,2.965310713325754577e+00,-3.638676114465266664e+01
1.630094043887068800e+00,4.214830109323949164e-02,1.183423601597088926e+00,1.352064934234918810e-02,1.400308612858386592e+00,3.200131108130837426e-02,2.902077663679225594e+00,-3.630247151446523901e+01
1.650992685475364485e+00,4.274094083081610151e-02,1.180989404744522853e+00,1.316281511335990265e-02,1.394562714417113991e+00,3.109029037097824077e-02,2.855607578269354185e+00,-3.624013362203236710e+01
1.671891327063660171e+00,4.334104174123878245e-02,1.178593511912391367e+00,1.293378112952863444e-02,1.388915383627677747e+00,3.048734104751473981e-02,2.835673289284398102e+00,-3.617360278897464809e+01
1.692789968651956078e+00,4.402000749006780567e-02,1.176142320781216943e+00,1.274994168194735523e-02,1.383148197719733963e+00,2.999149199926147077e-02,2.824423046388070180e+00,-3.608265303534474810e+01
1.713688610240251764e+00,4.481153027161167285e-02,1.173660456167970656e+00,1.249256350211455820e-02,1.377322802229554499e+00,2.932405555719822671e-02,2.795661221197663249e+00,-3.597274340205854770e+01
1.734587251828547672e+00,4.566151586819036656e-02,1.171256590859788727e+00,1.212315858527982654e-02,1.371695030658410586e+00,2.839865879009485783e-02,2.740454390043661093e+00,-3.586835864518135963e+01
1.755485893416843135e+00,4.644324294805549785e-02,1.169015948759849044e+00,1.171124620125926948e-02,1.366461135167303498e+00,2.738126717825056441e-02,2.674111338055727316e+00,-3.578935445639481117e+01
1.776384535005139043e+00,4.702402336127035204e-02,1.166925796448200270e+00,1.136466570490932138e-02,1.361586658789682103e+00,2.652344315813771544e-02,2.621171780290756370e+00,-3.573369944838201206e+01
1.797283176593434728e+00,4.733368065001771624e-02,1.164890813589691376e+00,1.113507178157191295e-02,1.356846617762072382e+00,2.594228565402983966e-02,2.593900689987316710e+00,-3.568015171742951708e+01
1.818181818181730414e+00,4.739110721635814844e-02,1.162815579398632559e+00,1.097818346916035540e-02,1.352019551179894918e+00,2.553120554287237678e-02,2.582481570581964370e+00,-3.560677939316519769e+01
1.839080459770026321e+00,4.727825243587811116e-02,1.160681422268593277e+00,1.079606999182023026e-02,1.347064808872176167e+00,2.506159574603436871e-02,2.564118244566722549e+00,-3.550911990977372312e+01
1.859979101358322007e+00,4.708451367533509485e-02,1.158556315543154192e+00,1.052071738140710269e-02,1.342142050790709140e+00,2.437768713254766934e-02,2.522488308025140125e+00,-3.540324880332942570e+01
1.880877742946617914e+00,4.686047142300281410e-02,1.156534535164831290e+00,1.016976459332358945e-02,1.337468706917048777e+00,2.352336793335051482e-02,2.461436675339547353e+00,-3.531202905717265139e+01
1.901776384534913600e+00,4.660876761974758892e-02,1.154656095291482165e+00,9.831012251476058811e-03,1.333134049591883752e+00,2.270287643810413661e-02,2.401977495621113512e+00,-3.524577567632896802e+01
1.922675026123209285e+00,4.630909280830542568e-02,1.152871944604091814e+00,9.587299813968091361e-03,1.329021804337497281e+00,2.210585796006368092e-02,2.364513831653220599e+00,-3.519323288320227761e+01
