time_ps,amplitude,stderr
1.030499999999997698e+02,4.685238095238093876e-03,3.832939656691008670e-05
1.030999999999997669e+02,3.249190476190476264e-03,3.840528943184529401e-05
1.031499999999997641e+02,1.111904761904761868e-03,3.437369349442627735e-05
1.031999999999997613e+02,-1.035666666666666506e-03,2.948399132614222635e-05
1.032499999999997584e+02,-2.526761904761904484e-03,3.119130877703391670e-05
1.032999999999997556e+02,-3.018809523809523436e-03,3.388670329158511224e-05
1.033499999999997527e+02,-2.369761904761904462e-03,3.401548282800729699e-05
1.033999999999997499e+02,-8.513809523809523104e-04,2.986648202804003318e-05
1.034499999999997470e+02,7.667619047619048545e-04,2.426086052063277938e-05
1.034999999999997442e+02,1.800571428571428722e-03,2.208284604409475364e-05
1.035499999999997414e+02,1.709761904761904682e-03,2.580172104693621464e-05
1.035999999999997385e+02,6.242857142857142659e-04,2.786365991562752870e-05
1.036499999999997215e+02,-9.853333333333332868e-04,2.664281813407644306e-05
1.036999999999997328e+02,-2.323619047619047452e-03,2.060295623012825918e-05
1.037499999999997300e+02,-2.666428571428571762e-03,2.554090895896768030e-05
1.037999999999997272e+02,-1.906571428571428696e-03,3.052208491631074196e-05
1.038499999999997243e+02,-5.080476190476189077e-04,3.114798909916520714e-05
1.038999999999997073e+02,9.432857142857141051e-04,1.920787600985200000e-05
1.039499999999997186e+02,1.801619047619047341e-03,2.159556497838789130e-05
1.039999999999997158e+02,1.667857142857143236e-03,2.286680280568177944e-05
1.040499999999997129e+02,7.999047619047618737e-04,2.473982095643984395e-05
1.040999999999997101e+02,-2.193809523809523441e-04,1.632208249118819726e-05
1.041499999999996930e+02,-9.018571428571427228e-04,1.505219834738710983e-05
1.041999999999997044e+02,-9.571428571428574695e-04,1.624711980156645581e-05
1.042499999999997016e+02,-4.973333333333333512e-04,1.724265483852688410e-05
1.042999999999996987e+02,8.533333333333332495e-05,1.167427675349994090e-05
1.043499999999996959e+02,3.971428571428570848e-04,8.050335652258641482e-06
1.043999999999996930e+02,3.107619047619048294e-04,9.677322857660274765e-06
1.044499999999996902e+02,-7.804761904761906737e-05,9.296206061826348295e-06
1.044999999999996874e+02,-5.157142857142856885e-04,8.745474094431837515e-06
1.045499999999996845e+02,-7.177142857142856111e-04,8.279573923050793872e-06
1.045999999999996817e+02,-6.398571428571426427e-04,9.863787237762669822e-06
1.046499999999996788e+02,-3.893333333333332739e-04,9.027965286732272127e-06
1.046999999999996760e+02,-1.559999999999999972e-04,6.081084758226503469e-06
1.047499999999996732e+02,-1.122380952380952609e-04,7.806968914529959357e-06
1.047999999999996703e+02,-2.285238095238095388e-04,7.195696472686110557e-06
1.048499999999996675e+02,-4.100476190476189109e-04,7.429025656209990734e-06
1.048999999999996646e+02,-5.331904761904763829e-04,7.034111742013780961e-06
1.049499999999996618e+02,-5.030476190476190030e-04,6.333239560794549221e-06
1.049999999999996589e+02,-3.393809523809523335e-04,7.605490347447433395e-06
1.050499999999996561e+02,-1.713333333333333689e-04,5.680721532317878185e-06
1.050999999999996533e+02,-7.580952380952382392e-05,5.953260705961880771e-06
1.051499999999996504e+02,-1.220476190476190798e-04,7.969752368353183436e-06
1.051999999999996476e+02,-2.166666666666667651e-04,6.564753914133935101e-06
1.052499999999996305e+02,-3.361904761904761481e-04,6.441718311278229698e-06
1.052999999999996419e+02,-4.103333333333332423e-04,4.573370949780182233e-06
1.053499999999996390e+02,-3.959047619047618115e-04,6.358151295421937174e-06
1.053999999999996362e+02,-3.439523809523809851e-04,6.256602171043270561e-06
1.054499999999996334e+02,-2.505238095238094230e-04,6.647953165231989580e-06
1.054999999999996163e+02,-1.486190476190476020e-04,6.312169470563671520e-06
